user_id,item_id
0,4713
0,6602
0,885
0,1214
0,2607
0,7072
0,4920
0,6511
0,7131
0,1068
0,48
0,1447
0,6343
0,7128
0,3103
1,7
1,556
1,2389
1,2013
1,2447
1,6988
1,7991
1,6570
1,6930
1,6573
1,2114
1,8131
1,6621
1,3825
1,551
2,203
2,6369
2,2844
2,2484
2,5401
2,8877
2,4037
2,4090
2,6731
2,4273
2,3006
2,4420
2,6557
2,6752
2,8745
3,2434
3,211
3,1993
3,3998
3,5111
3,3800
3,540
3,2554
3,1328
3,1546
3,8132
3,3060
3,6233
3,1285
3,6990
4,3059
4,862
4,958
4,1102
4,3237
4,4237
4,6870
4,4995
4,1745
4,4823
4,993
4,8633
4,3442
4,8920
4,359
5,6608
5,4485
5,2474
5,2728
5,5778
5,5364
5,6158
5,7245
5,375
5,1913
5,5344
5,3572
5,8546
5,7484
5,959
6,354
6,8424
6,6159
6,6685
6,8933
6,8934
6,2024
6,7113
6,2272
6,1699
6,1082
6,1789
6,338
6,8641
6,7158
7,7444
7,2940
7,5248
7,5955
7,4735
7,4029
7,3861
7,1522
7,5426
7,6850
7,6629
7,5243
7,4255
7,1927
7,8152
8,2730
8,6699
8,8000
8,1591
8,2471
8,876
8,1531
8,3537
8,1535
8,203
8,1419
8,6900
8,1473
8,1519
8,1594
9,4890
9,8653
9,6163
9,4548
9,6870
9,6020
9,7574
9,7157
9,5431
9,5061
9,8238
9,6974
9,3331
9,8934
9,4562
10,172
10,8326
10,824
10,1058
10,3722
10,6297
10,2350
10,7866
10,7214
10,659
10,8386
10,6859
10,7440
10,7190
10,7167
11,183
11,5460
11,2030
11,1383
11,6634
11,8391
11,4632
11,6272
11,2897
11,6400
11,7272
11,1815
11,158
11,1622
11,667
12,5039
12,2957
12,3987
12,678
12,6836
12,8611
12,6107
12,1963
12,816
12,5022
12,6149
12,7514
12,7337
12,7925
12,3751
13,2309
13,2931
13,1287
13,510
13,4919
13,6273
13,6568
13,8172
13,1018
13,7138
13,1618
13,5057
13,379
13,5548
13,2591
14,386
14,2580
14,4130
14,3373
14,918
14,392
14,8950
14,7741
14,479
14,6399
14,3398
14,287
14,5112
14,221
14,5220
15,824
15,7003
15,3889
15,2019
15,785
15,3689
15,6423
15,7317
15,7913
15,7316
15,6949
15,4118
15,1902
15,6686
15,3003
16,4989
16,2003
16,793
16,6441
16,6100
16,1809
16,4514
16,2501
16,98
16,7227
16,2637
16,1512
16,6518
16,8709
16,2581
17,3080
17,7651
17,1909
17,8580
17,7900
17,1743
17,6461
17,5996
17,5057
17,5094
17,5369
17,2122
17,3946
17,1750
17,1978
18,779
18,3771
18,2508
18,4581
18,4246
18,92
18,668
18,8166
18,784
18,2684
18,3071
18,4161
18,6575
18,5916
18,2672
19,3990
19,2497
19,964
19,5567
19,6188
19,7858
19,8647
19,2690
19,6998
19,3983
19,2972
19,636
19,3884
19,6581
19,7777
20,6968
20,2513
20,2616
20,5064
20,4718
20,4911
20,361
20,3534
20,2124
20,8600
20,2866
20,6878
20,6159
20,4305
20,1718
21,886
21,1523
21,2580
21,6441
21,1117
21,807
21,2323
21,8175
21,4642
21,5899
21,2659
21,4995
21,4042
21,3840
21,5926
22,3941
22,7825
22,900
22,2436
22,2181
22,7395
22,6448
22,4569
22,480
22,2964
22,688
22,5960
22,6019
22,1643
22,2295
23,1076
23,3308
23,1305
23,7392
23,1025
23,730
23,1024
23,3141
23,7154
23,7900
23,4995
23,2602
23,8730
23,63
23,4347
24,6712
24,1035
24,8333
24,278
24,2902
24,6031
24,4317
24,8989
24,7471
24,1377
24,484
24,3485
24,5453
24,3158
24,181
25,1917
25,7645
25,3323
25,4868
25,5380
25,8705
25,363
25,6468
25,4843
25,340
25,8297
25,1693
25,289
25,924
25,4903
26,2650
26,2028
26,3844
26,3001
26,5692
26,1538
26,3551
26,2989
26,5578
26,6595
26,6525
26,8025
26,2017
26,1091
26,5140
27,6315
27,1481
27,386
27,4188
27,7512
27,1499
27,418
27,3779
27,5192
27,3789
27,8069
27,1502
27,6190
27,7974
27,7495
28,214
28,4892
28,5762
28,1092
28,3349
28,12
28,5871
28,8743
28,4208
28,4563
28,8661
28,6440
28,3068
28,1224
28,2596
29,1882
29,8972
29,2052
29,4045
29,485
29,2382
29,8388
29,5001
29,5428
29,7068
29,7926
29,32
29,3046
29,468
29,678
30,1803
30,6314
30,442
30,5217
30,3573
30,6373
30,7119
30,8777
30,7123
30,6249
30,816
30,4143
30,3166
30,5047
30,989
31,2963
31,2309
31,685
31,19
31,3532
31,5217
31,8570
31,7649
31,7910
31,3796
31,1478
31,4668
31,6630
31,1406
31,7539
32,426
32,5037
32,4423
32,2467
32,7349
32,8223
32,63
32,7560
32,2501
32,4731
32,1920
32,2088
32,3113
32,1258
32,8971
33,8633
33,1061
33,7645
33,7629
33,3882
33,5
33,7602
33,365
33,3431
33,5910
33,7072
33,8445
33,7681
33,4366
33,1267
34,720
34,1253
34,3124
34,2537
34,6849
34,2058
34,2959
34,5958
34,4458
34,2293
34,4574
34,7695
34,4510
34,6113
34,2955
35,5003
35,53
35,580
35,8396
35,6606
35,4673
35,6272
35,207
35,1378
35,8667
35,7899
35,2066
35,3911
35,2288
35,3905
36,7444
36,860
36,3795
36,1396
36,2018
36,5866
36,6644
36,4733
36,2024
36,3837
36,8307
36,2642
36,1533
36,5868
36,7467
37,8540
37,190
37,4604
37,21
37,1689
37,5021
37,4285
37,4227
37,4590
37,882
37,7208
37,3804
37,6599
37,5460
37,4709
38,1523
38,5746
38,2667
38,2405
38,1725
38,6641
38,4235
38,2890
38,4451
38,6781
38,2552
38,3770
38,7001
38,8591
38,854
39,1842
39,841
39,418
39,1582
39,4923
39,8149
39,2189
39,4745
39,3118
39,5345
39,5550
39,4918
39,8335
39,4017
39,179
40,958
40,1344
40,5364
40,4172
40,4248
40,2365
40,1513
40,5948
40,3953
40,8331
40,5930
40,258
40,1619
40,751
40,1877
41,812
41,5123
41,2058
41,5114
41,815
41,3983
41,5595
41,3066
41,3862
41,2302
41,3538
41,2945
41,4437
41,5607
41,7476
42,5310
42,5925
42,2535
42,1103
42,2771
42,1041
42,2363
42,1337
42,1199
42,6680
42,3757
42,7662
42,8496
42,3500
42,967
43,2560
43,5204
43,3989
43,1724
43,6667
43,1401
43,1514
43,3168
43,6809
43,4215
43,4255
43,1097
43,7713
43,7076
43,8106
44,2990
44,7107
44,223
44,3558
44,6637
44,6544
44,3068
44,5078
44,5501
44,1380
44,5622
44,5617
44,2871
44,1988
44,4822
45,878
45,5177
45,540
45,874
45,2961
45,3642
45,3847
45,814
45,3744
45,1748
45,8826
45,1593
45,2434
45,4254
45,4843
46,646
46,824
46,8649
46,4094
46,2687
46,1608
46,4615
46,3492
46,7996
46,3763
46,4595
46,4635
46,1822
46,5035
46,8287
47,1255
47,2230
47,6878
47,3089
47,5566
47,8380
47,1248
47,5546
47,4135
47,1833
47,7277
47,6595
47,2293
47,930
47,1468
48,2046
48,7759
48,4046
48,1305
48,7371
48,334
48,7
48,5684
48,2993
48,2748
48,7914
48,2508
48,1626
48,7980
48,1446
49,6608
49,2891
49,1368
49,935
49,3895
49,3659
49,943
49,964
49,1205
49,3308
49,5226
49,2739
49,5066
49,3262
49,740
50,1155
50,856
50,4400
50,904
50,1495
50,12
50,5308
50,2865
50,3468
50,6847
50,5675
50,6459
50,7703
50,366
50,7717
51,5725
51,6361
51,1754
51,5630
51,4399
51,6542
51,2827
51,8247
51,129
51,4492
51,1054
51,1829
51,3103
51,721
51,4130
52,2218
52,1208
52,8838
52,59
52,253
52,5878
52,5049
52,3969
52,5458
52,1954
52,7661
52,2408
52,7145
52,5518
52,1182
53,411
53,2644
53,5141
53,6699
53,628
53,2429
53,655
53,2843
53,1591
53,3505
53,2564
53,6859
53,2682
53,4514
53,4223
54,1308
54,1289
54,1897
54,5434
54,5744
54,2032
54,791
54,2656
54,3683
54,4478
54,2425
54,2886
54,1507
54,5033
54,8599
55,8037
55,4905
55,1580
55,1557
55,4816
55,6350
55,4482
55,60
55,6837
55,4635
55,1433
55,3433
55,745
55,6649
55,2740
56,4679
56,442
56,274
56,1717
56,7622
56,1410
56,1926
56,918
56,7007
56,1513
56,7661
56,5609
56,3577
56,5810
56,4527
57,4796
57,6338
57,6117
57,4494
57,4282
57,8561
57,4542
57,7622
57,3346
57,1598
57,6077
57,2925
57,7624
57,542
57,744
58,5745
58,406
58,673
58,534
58,645
58,2561
58,3124
58,7317
58,3656
58,4019
58,6214
58,7812
58,6103
58,6426
58,8811
59,2952
59,7471
59,1758
59,1566
59,2664
59,2964
59,1138
59,1994
59,1792
59,2574
59,3070
59,5649
59,365
59,4414
59,3458
60,2042
60,7336
60,664
60,4474
60,1186
60,2144
60,1992
60,2732
60,4751
60,1712
60,2797
60,3369
60,7698
60,1848
60,8670
61,437
61,209
61,2458
61,292
61,7824
61,787
61,4181
61,7083
61,1629
61,1894
61,1999
61,4735
61,8968
61,3026
61,3706
62,2271
62,6786
62,1158
62,2819
62,4478
62,1715
62,2087
62,6111
62,665
62,6714
62,7259
62,2735
62,4041
62,256
62,706
63,3847
63,6712
63,204
63,4814
63,1531
63,480
63,6448
63,7938
63,4519
63,1585
63,7791
63,3763
63,5294
63,2064
63,8862
64,1898
64,7572
64,6369
64,706
64,2865
64,5433
64,4388
64,5389
64,3827
64,6074
64,423
64,5552
64,8393
64,5745
64,7180
65,2559
65,1726
65,4733
65,5008
65,8224
65,7055
65,6960
65,6648
65,2877
65,7149
65,841
65,8877
65,7902
65,6189
65,7761
66,1229
66,6699
66,2748
66,7603
66,5954
66,8405
66,4208
66,2557
66,8192
66,3207
66,7266
66,2958
66,2000
66,3722
66,26
67,2725
67,2448
67,887
67,4278
67,4795
67,139
67,2092
67,1896
67,3141
67,2000
67,6612
67,2228
67,6336
67,2103
67,680
68,1696
68,2269
68,180
68,8460
68,8961
68,5960
68,2548
68,2082
68,4987
68,6569
68,4529
68,8630
68,343
68,4285
68,7225
69,1455
69,3919
69,6293
69,577
69,2213
69,51
69,4369
69,4080
69,4520
69,7072
